domain,street_address,mailable,in_target_list,flag
autochargingexperts.com,"3050 W Ball Rd Spc 29, Anaheim, California 92804, US",yes,yes,
automatedpower.com,"1401 E Ball Rd; G; ANAHEIM, CA 92805, US",yes,yes,
avail-engineering.com,"591 E Valley Blvd; Colton, California 92324, US",yes,yes,
averillelectric.com,"28 Norfolk Ave, Easton, Massachusetts 02375, US",yes,yes,
avsengineering.net,"Monroe, Washington 98272, US",NO - city/state only,yes,
avsolutionsatlanta.com,"4865 Warehouse Way, Suite 105, Cumming, Georgia 30041, US",yes,,
awestenterprise.com,"705 Canal St; Albany, Georgia 31707, US",yes,yes,
awjelectric.com,"[no street] Fayetteville, Arkansas 72703, US",yes,yes,
axxisbuildingsystems.com,"1200 Summit Avenue; Suite 650; Fort Worth, Texas 76102, US",yes,yes,
aye-inc.com,"88 Commonwealth Dr; Lyndhurst, Virginia 22952, US",yes,yes,
aztecpowerline.com,"1499 US-17, Wauchula, FL 33873, US",yes,yes,
babylonem.com,"750 New Horizons Blvd, Amityville, NY 11701",yes,yes,
bacalightningprotection.com,"4201 Ellison St Ne; Albuquerque, NM 87109, US",yes,yes,
balancevibration.com,"2426 Lacy Ln, Carrollton, Texas 75006, US",yes,yes,
balco.com,"898 Center Dr; Vandalia, Ohio 45377, US",yes,yes,
ballanceelectric.com,"944 Corporate Ln, Chesapeake, VA 23320",yes,yes,
bandhelectric.com,"1122 Black Diamond Way, Lodi, California 95240, US",yes,yes,
bandjelectriconline.com,"10950 Woodworth Rd, North Lima, OH 44452",yes,yes,
banks-ec.com,"100 N Tryon St; STE B220-117; Charlotte, North Carolina 28202-4029, US",yes,yes,
bansalconstruction.com,"3263 Homeward Way Ste 1, Fairfield, Ohio 45014-4237, US",yes,yes,
bantaelectric.com,"5701 State Route 128; Cleves, Ohio 45002, US",yes,yes,
bardenelectric.com,"Torrance, US",NO - city/state only,yes,
barthelectric.com,"1934 N Illinois St, Indianapolis, Indiana, US",yes,yes,
baseloadfirst.com,"3609 County Road 55A; Corpus Christi, Texas 78406, US",yes,yes,
basselectric.net,"390 Swift Ave, South San Francisco, CA 94080",yes,yes,
basselectricalnyc.com,"1017 37th Ave, New York (Long Island City), NY 11101, US",yes,yes,
battag.com,"11 Industrial Boulevard; New Castle, Delaware 19720, US",yes,yes,
baxterelectricllc.com,"3708 N Courtenay Pkwy; 113; Merritt Island, Florida 32953, US",yes,yes,
bayarealightworks.com,"1460 Yosemite Ave., San Francisco, California 94124, US",yes,yes,
bayouelectrical.net,"1843 Peters Rd; Harvey, LA 70058, US",yes,yes,
bayviewecci.com,"5151 GOLDEN FOOTHILL PKWY; EL DORADO HILLS, California 95762, US",yes,yes,
bazenelectric.com,"750 Ball Ave NE, Grand Rapids, Michigan 49503, US",yes,yes,
bb-electric.com,"9982 Lickinghole Rd.; Ashland, Virginia 23005, US",yes,yes,
bbelectricmotor.com,"332 LULU; WICHITA, Kansas 67211, US",yes,yes,
beckerle.us,"2026 Corporate 44 Dr, Fenton, Missouri 63026, US",yes,yes,
beckettelectrical.com,"P.O. Box 81381, Austin, TX 78708, US",yes,yes,
beelectricinc.com,"2211 N. Madson Rd; Liberty Lake, Washington 99019, US",yes,yes,
bei-sc.com,"604 Greenwood Rd; West Columbia, South Carolina 29169, US",yes,yes,
beischel.com,"P.O. Box 32067, 5655 Center Hill Avenue, Cincinnati, OH 45232, US",yes,,
bemotors.net,"N7317 Hwy 42; Sheboygan, Wisconsin 53083, US",yes,yes,
benfieldinc.com,"400 Hickory Drive; Suite 200; Aberdeen, Maryland 21001, US",yes,yes,
bennett-electric.com,"55 Fruit St, Boston, Massachusetts 02114-2621, US",yes,yes,
bennettelectric.com,"1414 King St; Wilmington, North Carolina 28401, US",yes,yes,
bertke.com,"11005 OH-128; Harrison, Ohio 45030, US",yes,yes,
bescoelec.com,"5324 W 46th St S, Tulsa, Oklahoma 74107, US",yes,yes,
bescoelectrical.com,"9935 NORTHCROSS CENTER COURT; HUNTERSVILLE, NC 28078, US",yes,yes,
bestrepair.net,"2406 De Bree Ave, Norfolk, VA 23517",yes,yes,
bestwayelectric.com,"728 S Campbell Ave, Tucson, AZ 85719, US",yes,yes,
bg-technologies.com,"203 S Jupiter Rd; Allen, Texas 75002, US",yes,yes,
bgasales.com,"5010 Terminal; Houston, Tx 77401, US",yes,yes,
bibleelectric.com,"1120 W Moreno Ave, Colorado Springs, Colorado 80905, US",yes,yes,
bicelectrics.com,"Miami, US",NO - city/state only,yes,
bigbearelectric.biz,"11112 Sir Barton Ln; South Jordan, UT 84095, US",yes,yes,
bigskyelectric.com,"Ontario, CA 91761, US",NO - city/state only,yes,
bittingelectric.com,"1000 Northgate Ct, Morrisville, North Carolina 27560, US",yes,yes,
bixbyelectric.com,"521 Wheeler Ave SE; Albuquerque, NM 87102, US",yes,yes,
bizcomelec.com,"682 Tuxedo Pl, Cincinnati, Ohio 45206, US",yes,yes,
bjbaldwin.com,"7060 Division Hwy; Narvon, PA 17555, US",yes,yes,
bjelectrical.com,"6265 Wiehe Road, Cincinnati, Ohio 45237, US",yes,yes,
bjemotors.com,"2900 W Francis Ave, Midland, TX 79701",yes,yes,
blackhawkneff.com,"805 Northgate Circle; New Castle, PA 16105, US",yes,yes,
blackmonservice.com,"1601 Cross Beam Drive, Charlotte, NC 28217, US",yes,yes,
blakesleeelectric.com,"14 W 3rd St; Santa Rosa, California 95401-6160, US",yes,yes,
bloomfieldelectric.com,"182 OAKWOOD DRIVE; GLASTONBURY, Connecticut 06033, US",yes,yes,
blountelectrical.com,"[no street] Franklin, TN 37064, US",yes,yes,
bls-us.com,"629 Gyrfalcon Ct; Unit A; Windsor, Colorado 80550, US",yes,yes,
blsmithelectric.com,"29252 US Highway 27; Dundee, Florida 33838, US",yes,yes,
bluecorepower.com,"2001 6th Ave, Suite 1776, Seattle, Washington 98121, US",yes,yes,
bluemountainelectric.com,"1181 NE 21st Ct; Oak Harbor, Washington 98277, US",yes,yes,
bluewhaleev.com,"980 Mercantile Dr; Suite A; Hanover, Maryland 21076, US",yes,yes,
bockmonwoody.com,"PO Box 1018, Stockton, CA 95201, US",yes,yes,
bodinedanville.com,"19 Withner Ave.; P.O. Box 701; Danville, IL 61832, US",yes,yes,
boisvertelectric.com,"28 Daniel Plummer Rd # 3; Goffstown, New Hampshire 03045-2570, US",yes,yes,
bolt-electric.com,"15721 Texaco Ave, Paramount, CA 90723, US",yes,yes,
bondedlightning.com,"2080 W. Indiantown Rd, Suite 100, Jupiter, Florida 33458, US",yes,yes,
bonnerelectric.com,"933 Richburg Rd; Hattiesburg, Mississippi 39402-9048, US",yes,yes,
bonuselectric.com,"1400 Bluff Rd; Romeoville, Illinois 60446, US",yes,yes,
bore-tech.net,"19025 SW 194th Ave, Miami, Florida 33187, US",yes,yes,
bowerselectric.net,"Olathe, US",NO - city/state only,yes,
box-electric.com,"5516 Old Wake Forest Rd, Raleigh, North Carolina 27609, US",yes,yes,
boxsystemselectrical.com,"1948 CADDO SPRINGS DR; Justin, Texas 76247, us",yes,yes,
boyetteelectric.com,"2889 Bob Bowen Rd, Blackshear, GA 31516, US",yes,yes,
br-electrical.com,"1930 Hornage Rd; Ball Ground, Georgia 30107-2443, US",yes,yes,
bradleysmotors.com,"600 East Highway 35; Gregory, TX 78359, US",yes,yes,
brandonclark.com,"3623 I-27, Lubbock, TX 79404, US",yes,yes,
branhamelectriccorp.com,"4113 S Military Hwy, Chesapeake, VA 23321",yes,yes,
bridgefieldelectric.com,"3991 Tulane Road; Orange, Texas 77630, US",yes,yes,
bridgepointelectric.com,"S 122nd East Ave, Tulsa, Oklahoma 74128, US",yes,yes,
brintelectric.com,"7825 Central Ave., Toledo, Ohio 43617, US",yes,yes,
britainelectric.com,"14149 Westfair East, Houston, Texas 77041, US",yes,yes,
brite.group,"5400 Robin Hood Rd, Norfolk, Virginia 23513, US",yes,yes,
broncoelectric.com,"1711 Art St; Bakersfield, California 93312, US",yes,yes,
bruns-pak.com,"999 New Durham Road; Edison, NJ 08817, US",yes,yes,
bryanelectricinc.com,"1840 Grassland Pkwy, Alpharetta, Georgia 30004, US",yes,yes,
btechinc.com,"10 Astro Place, Rockaway, NJ 07866, US",yes,yes,
btxconstructiongroup.com,"11332 Mosier Valley Rd; Euless, Texas 76040, US",yes,yes,
bucyelectric.com,"248 BRUCE ST; Sevierville, Tennessee 37862, us",yes,yes,
bulldogonsite.com,"30015 Groesbeck Hwy, Roseville, Michigan 48066, US",yes,yes,
bullertindustrial.com,"7630 Avianca Dr; Redding, California 96002, US",yes,yes,
bullettelectric.com,"14860 Concord Park Dr; Riverton, Utah 84065-2506, US",yes,yes,
burfordinc.com,"154 Cooper Rd, Columbus, Mississippi 39702, US",yes,yes,
burkheadelectric.com,"2714 N Jefferson Way; Indianola, Iowa 50125, US",yes,yes,
burns-electric.com,"1467 NE 66th Ave, Des Moines, IA 50313",yes,yes,
busscoinc.com,"25 FRANKLIN STREET, MALDEN, Massachusetts 02148, US",yes,yes,
bvelectric.net,"11781 Water Tank Rd, Burlington, WA 98233, US",yes,yes,
bxperts.com,"3399 Peachtree Rd NE; Ste 412; Atlanta, Georgia 30326, US",yes,yes,
c-v-e.com,"9344 Wheatlands Rd; Santee, California 92071, US",yes,yes,
c1c.net,"5555 Oakbrook Parkway, Suite #175, Norcross, GA 30093, US",yes,,
c2geng.com,"34 Industrial Lane, Huntington, WV 25702, US",yes,yes,
