event,series,start,city,state,company,domain,hq,employees,ownership,founded,in_target_list,priority,bucket,have_contact
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,"Copperweld Bimetallics, LLC",copperweld.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Genics Inc.,genicsinc.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Advanced Test Equipment Corp.,atecorp.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,LIVE EO,live-eo.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Groundline Engineering Ltd.,groundlineengineering.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,"EDM International, Inc.",edmlink.com,,,,,YES,master-P2,E12,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Superior Court of Mariposa,mariposa.courts.ca.gov,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Long Island Power Authority,lipower.org,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,"New Hampshire Electric Cooperative, Inc.",nhec.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,NM Group,nmgroup.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,ikeGPS,ikegps.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Electrical Builders Inc. (EBI),electricalbuilders.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,LineVision,linevisioninc.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Safearth,safearth.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,eSmart Systems AS,esmartsystems.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Iapetus Holdings,iapetusllc.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,AEMC Instruments,aemc.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Heimdall Power,heimdallpower.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Ampacimon,ampacimon.com,"Ans, Belgium",73,Investor Backed,2010,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Jackson Energy Cooperative,jacksonenergy.com,"Hessle, UK",70,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,"Cal Engineering Solutions, Inc.",calengineeringsolutions.com,"Fresno, CA",70,Private Subsidiary,2013,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Israel Electric Corporation חברת החשמל לישראל בע,global-iec.com,"Haifa, Israel",9858,Bootstrapped,1923,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Treeswift Inc,treeswift.com,"New York, NY",63,Investor Backed,2020,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Maschinenfabrik Reinhausen,reinhausen.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Tower Power Group,towerpowergroup.com,,,,,YES,campaign-P2,T3,YES
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,BC Hydro,bchydro.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,FortisBC,fortisbc.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Liberty Electric Line Builders,libertyelectriclb.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Ampjack Industries Ltd.,ampjack.ca,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Induron Protective Coatings,induron.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,NB Power,nbpower.com,,,,,,,,
